locus_tag	ftype	length_bp	gene	EC_number	COG	product
1617.00_00902	CDS	966	alx		COG0861	Putative membrane-bound redox modulator Alx
1617.00_00903	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
1617.00_00904	CDS	693				hypothetical protein
1617.00_00905	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
1617.00_00906	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
1617.00_00907	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
1617.00_00908	CDS	1500				hypothetical protein
1617.00_00909	CDS	2352	ygjK	3.2.1.-		Glucosidase YgjK
	sig_peptide	69				putative signal peptide
1617.00_00910	CDS	1071				hypothetical protein
	sig_peptide	75				putative signal peptide
1617.00_00911	CDS	1434	ygjI		COG0531	Inner membrane transporter YgjI
1617.00_00912	CDS	450	ebgC		COG2731	Evolved beta-galactosidase subunit beta
1617.00_00913	CDS	3093	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
1617.00_00914	CDS	984	lacR		COG1609	HTH-type transcriptional regulator LacR
1617.00_00915	CDS	333	ygjH		COG0073	tRNA-binding protein YgjH
1617.00_00916	CDS	1491	patA	2.6.1.82	COG4992	Putrescine aminotransferase
1617.00_00917	CDS	1521	aer		COG0840	Aerotaxis receptor
1617.00_00918	CDS	624	yqjI		COG1695	Transcriptional regulator YqjI
1617.00_00919	CDS	765	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
1617.00_00920	tRNA	76				tRNA-Met(cat)
1617.00_00921	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
1617.00_00922	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
1617.00_00923	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
1617.00_00924	CDS	216	rpsU		COG0828	30S ribosomal protein S21
1617.00_00925	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
1617.00_00926	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
1617.00_00927	CDS	606	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
1617.00_00928	CDS	912	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
1617.00_00929	CDS	933	dmlR_3			HTH-type transcriptional regulator DmlR
1617.00_00930	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
1617.00_00931	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
1617.00_00932	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
1617.00_00933	CDS	1239	cca		COG0617	Multifunctional CCA protein
1617.00_00934	CDS	621				hypothetical protein
	sig_peptide	69				putative signal peptide
1617.00_00935	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
1617.00_00936	CDS	2841	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1617.00_00937	CDS	1434	hldE		COG2870	Bifunctional protein HldE
1617.00_00938	CDS	1662	yqiK		COG2268	Inner membrane protein YqiK
1617.00_00939	CDS	630	yqiJ			Inner membrane protein YqiJ
1617.00_00940	CDS	201	glgS			Surface composition regulator
1617.00_00941	CDS	300	yqiC		COG2960	putative protein YqiC
1617.00_00942	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
1617.00_00943	CDS	171				hypothetical protein
1617.00_00944	CDS	774	zupT		COG0428	Zinc transporter ZupT
1617.00_00945	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
1617.00_00946	CDS	672	dsbI		COG1495	Protein-disulfide oxidoreductase DsbI
1617.00_00947	CDS	669	dsbL		COG0526	Thiol:disulfide interchange protein DsbL
	sig_peptide	84				putative signal peptide
1617.00_00948	CDS	1797	assT	2.8.2.22		Arylsulfate sulfotransferase AssT
	sig_peptide	84				putative signal peptide
1617.00_00949	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
1617.00_00950	CDS	672				hypothetical protein
1617.00_00951	CDS	1482	tolC		COG1538	Outer membrane protein TolC
	sig_peptide	69				putative signal peptide
1617.00_00952	CDS	630	nudF	3.6.1.13		ADP-ribose pyrophosphatase
1617.00_00953	CDS	423				hypothetical protein
1617.00_00954	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
1617.00_00955	CDS	582				hypothetical protein
1617.00_00956	CDS	1893	parE	5.99.1.3	COG0187	DNA topoisomerase 4 subunit B
1617.00_00957	CDS	2142	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
	sig_peptide	87				putative signal peptide
1617.00_00958	CDS	810	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
1617.00_00959	CDS	984	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
1617.00_00960	CDS	1050	feuC		COG0609	Iron-uptake system permease protein FeuC
1617.00_00961	CDS	948				hypothetical protein
	sig_peptide	54				putative signal peptide
1617.00_00962	CDS	888				hypothetical protein
1617.00_00963	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
1617.00_00964	CDS	582	mdaB		COG2249	Modulator of drug activity B
1617.00_00965	CDS	480	hcpA_1		COG3157	Major exported protein
1617.00_00966	CDS	711				hypothetical protein
1617.00_00967	CDS	330	ygiZ			Inner membrane protein YgiZ
1617.00_00968	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
1617.00_00969	CDS	660	qseB			Transcriptional regulatory protein QseB
1617.00_00970	CDS	393	ygiW_1		COG3111	Protein YgiW
	sig_peptide	63				putative signal peptide
1617.00_00971	CDS	483	sbmC_2			DNA gyrase inhibitor
1617.00_00972	CDS	1608	ygiS		COG4166	putative deoxycholate-binding periplasmic protein YgiS
	sig_peptide	63				putative signal peptide
1617.00_00973	CDS	2259	parC	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
1617.00_00974	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
1617.00_00975	CDS	1413	ftsP		COG2132	Cell division protein FtsP
	sig_peptide	84				putative signal peptide
1617.00_00976	CDS	1305	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
1617.00_00977	CDS	483				hypothetical protein
1617.00_00978	CDS	984			COG1638	Solute-binding protein
	sig_peptide	81				putative signal peptide
1617.00_00979	CDS	1011	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
1617.00_00980	CDS	1017	lgoD_1	1.1.1.-	COG1063	L-galactonate-5-dehydrogenase
1617.00_00981	CDS	1473	mtlK_2	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
1617.00_00982	CDS	750	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
1617.00_00983	CDS	2220				hypothetical protein
1617.00_00984	CDS	258				hypothetical protein
1617.00_00985	CDS	927				hypothetical protein
	sig_peptide	57				putative signal peptide
1617.00_00986	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
1617.00_00987	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
1617.00_00988	CDS	957	rhaS_1			HTH-type transcriptional activator RhaS
1617.00_00989	CDS	660	yghB		COG0586	Inner membrane protein YghB
1617.00_00990	CDS	1188	metC	4.4.1.8	COG0626	Cystathionine beta-lyase MetC
1617.00_00991	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
1617.00_00992	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
1617.00_00993	CDS	885	yghA	1.-.-.-		putative oxidoreductase YghA
1617.00_00994	CDS	495				hypothetical protein
1617.00_00995	CDS	1041	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
1617.00_00996	CDS	888				hypothetical protein
1617.00_00997	CDS	288				hypothetical protein
1617.00_00998	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
1617.00_00999	CDS	987	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
	sig_peptide	81				putative signal peptide
1617.00_01000	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
1617.00_01001	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
1617.00_01002	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
1617.00_01003	CDS	489	hybE			Hydrogenase-2 operon protein HybE
1617.00_01004	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
1617.00_01005	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
1617.00_01006	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
1617.00_01007	CDS	1860	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
1617.00_01008	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
1617.00_01009	CDS	693				hypothetical protein
1617.00_01010	CDS	699				hypothetical protein
1617.00_01011	CDS	759				hypothetical protein
1617.00_01012	CDS	1350				hypothetical protein
1617.00_01013	CDS	825				hypothetical protein
1617.00_01014	CDS	561	ytfJ_1		COG3054	putative protein YtfJ
	sig_peptide	63				putative signal peptide
1617.00_01015	CDS	1071				hypothetical protein
1617.00_01016	CDS	1080	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
1617.00_01017	CDS	1173	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
1617.00_01018	CDS	249	acpP_1			Acyl carrier protein
1617.00_01019	CDS	915	oleD	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
1617.00_01020	CDS	1689		6.2.1.51	COG0318	4-hydroxyphenylalkanoate adenylyltransferase
1617.00_01021	CDS	1143				hypothetical protein
1617.00_01022	CDS	765	glcC		COG2186	Glc operon transcriptional activator
1617.00_01023	CDS	1500		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
1617.00_01024	CDS	1053				hypothetical protein
1617.00_01025	CDS	1224	lutA_1			Lactate utilization protein A
1617.00_01026	CDS	405				hypothetical protein
1617.00_01027	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
1617.00_01028	CDS	1683	glcA		COG1620	Glycolate permease GlcA
1617.00_01029	CDS	4560				hypothetical protein
	sig_peptide	69				putative signal peptide
1617.00_01030	CDS	810	pppA		COG1989	Leader peptidase PppA
1617.00_01031	CDS	411				hypothetical protein
	sig_peptide	87				putative signal peptide
1617.00_01032	CDS	831	epsC		COG3031	Type II secretion system protein C
1617.00_01033	CDS	2061	epsD			Type II secretion system protein D
	sig_peptide	123				putative signal peptide
1617.00_01034	CDS	1494	epsE_1		COG2804	Type II secretion system protein E
1617.00_01035	CDS	1224	epsF_1		COG1459	Type II secretion system protein F
1617.00_01036	CDS	456	epsG		COG2165	Type II secretion system protein G
1617.00_01037	CDS	564	epsH			Type II secretion system protein H
1617.00_01038	CDS	372				hypothetical protein
1617.00_01039	CDS	606	xcpW		COG4795	Type II secretion system protein J
1617.00_01040	CDS	978	gspK		COG3156	Putative type II secretion system protein K
1617.00_01041	CDS	1179	epsL		COG3297	Type II secretion system protein L
1617.00_01042	CDS	537	epsM		COG3149	Type II secretion system protein M
1617.00_01043	CDS	777	kpsM		COG1682	Polysialic acid transport protein KpsM
1617.00_01044	CDS	669	kpsT			Polysialic acid transport ATP-binding protein KpsT
1617.00_01045	CDS	3453				hypothetical protein
1617.00_01046	CDS	600	oatWY	2.3.1.-		Polysialic acid O-acetyltransferase
1617.00_01047	CDS	1239				hypothetical protein
1617.00_01048	CDS	2028				hypothetical protein
1617.00_01049	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
1617.00_01050	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
	sig_peptide	63				putative signal peptide
1617.00_01051	CDS	1149				hypothetical protein
1617.00_01052	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
1617.00_01053	CDS	156				hypothetical protein
1617.00_01054	tRNA	76				tRNA-Phe(gaa)
1617.00_01055	CDS	708				hypothetical protein
1617.00_01056	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
1617.00_01057	CDS	1257	nupG			Nucleoside permease NupG
1617.00_01058	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
	sig_peptide	72				putative signal peptide
1617.00_01059	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
1617.00_01060	CDS	1053	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
1617.00_01061	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
1617.00_01062	CDS	327			COG3171	putative protein
1617.00_01063	CDS	141				hypothetical protein
1617.00_01064	CDS	720				hypothetical protein
	sig_peptide	63				putative signal peptide
1617.00_01065	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
	sig_peptide	69				putative signal peptide
1617.00_01066	CDS	1008				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_01067	CDS	1302	dctM_2		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
1617.00_01068	CDS	504				hypothetical protein
1617.00_01069	CDS	987			COG1638	Solute-binding protein
	sig_peptide	78				putative signal peptide
1617.00_01070	CDS	1137	hemN_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
1617.00_01071	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
1617.00_01072	CDS	291				hypothetical protein
1617.00_01073	CDS	567				hypothetical protein
1617.00_01074	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
1617.00_01075	CDS	981	yggR		COG2805	putative protein YggR
1617.00_01076	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
1617.00_01077	CDS	636				hypothetical protein
1617.00_01078	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
1617.00_01079	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
1617.00_01080	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
	sig_peptide	69				putative signal peptide
1617.00_01081	CDS	456	sprT			Protein SprT
1617.00_01082	CDS	1395	galP			Galactose-proton symporter
1617.00_01083	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
1617.00_01084	CDS	252				hypothetical protein
1617.00_01085	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
1617.00_01086	CDS	732				hypothetical protein
	sig_peptide	75				putative signal peptide
1617.00_01087	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
1617.00_01088	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
1617.00_01089	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
1617.00_01090	CDS	909	hflC_1		COG0330	Modulator of FtsH protease HflC
1617.00_01091	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
1617.00_01092	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
1617.00_01093	CDS	1278	yggP_1	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
1617.00_01094	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
1617.00_01095	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
1617.00_01096	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
1617.00_01097	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
1617.00_01098	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
1617.00_01099	CDS	1080	fbaA_2	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
1617.00_01100	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
1617.00_01101	CDS	636	argO		COG1279	Arginine exporter protein ArgO
1617.00_01102	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
	sig_peptide	66				putative signal peptide
1617.00_01103	CDS	897	cynR_1			HTH-type transcriptional regulator CynR
1617.00_01104	CDS	1479	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
1617.00_01105	CDS	786	scpB	4.1.1.41	COG1024	Methylmalonyl-CoA decarboxylase
1617.00_01106	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
1617.00_01107	CDS	2145	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
1617.00_01108	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
1617.00_01109	CDS	231				hypothetical protein
1617.00_01110	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
1617.00_01111	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
1617.00_01112	CDS	549	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
1617.00_01113	CDS	330	zapA		COG3027	Cell division protein ZapA
1617.00_01114	CDS	579				hypothetical protein
1617.00_01115	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
1617.00_01116	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
1617.00_01117	CDS	1203	ubiI	1.14.13.-	COG0654	2-octaprenylphenol hydroxylase
1617.00_01118	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
1617.00_01119	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
1617.00_01120	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
1617.00_01121	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
1617.00_01122	CDS	312				hypothetical protein
1617.00_01123	CDS	660				hypothetical protein
1617.00_01124	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
1617.00_01125	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
1617.00_01126	CDS	408	ygfX			Inner membrane protein YgfX
1617.00_01127	CDS	522	fldB		COG0716	Flavodoxin 2
1617.00_01128	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
1617.00_01129	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
	sig_peptide	63				putative signal peptide
1617.00_01130	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
1617.00_01131	CDS	882	prfB		COG1186	Peptide chain release factor RF2
1617.00_01132	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
1617.00_01133	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
1617.00_01134	CDS	126	yqfG			putative protein YqfG
1617.00_01135	CDS	1449	uacT		COG2233	Uric acid transporter UacT
1617.00_01136	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
1617.00_01137	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
1617.00_01138	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
1617.00_01139	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
1617.00_01140	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
1617.00_01141	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
1617.00_01142	CDS	780				hypothetical protein
1617.00_01143	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
1617.00_01144	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
1617.00_01145	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
1617.00_01146	CDS	771				hypothetical protein
1617.00_01147	CDS	1626				hypothetical protein
1617.00_01148	CDS	933	arcC1	2.7.2.2		Carbamate kinase 1
1617.00_01149	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
1617.00_01150	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
1617.00_01151	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
1617.00_01152	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
1617.00_01153	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
1617.00_01154	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
1617.00_01155	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
1617.00_01156	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
1617.00_01157	CDS	207				hypothetical protein
1617.00_01158	CDS	3516				hypothetical protein
1617.00_01159	CDS	873				hypothetical protein
1617.00_01160	CDS	651				hypothetical protein
1617.00_01161	CDS	981	nanS	3.1.1.-		putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
1617.00_01162	CDS	1107	nanM	5.1.3.24	COG3055	N-acetylneuraminate epimerase
	sig_peptide	60				putative signal peptide
1617.00_01163	CDS	717	nanC			putative N-acetylneuraminic acid outer membrane channel protein NanC
	sig_peptide	72				putative signal peptide
1617.00_01164	CDS	396				hypothetical protein
1617.00_01165	CDS	603				ISKra4 family transposase ISCep1
1617.00_01166	CDS	597				ISKra4 family transposase ISCep1
1617.00_01167	CDS	549	fimA_1			Type-1 fimbrial protein, A chain
	sig_peptide	72				putative signal peptide
1617.00_01168	CDS	498	lpfA			putative major fimbrial subunit LpfA
1617.00_01169	CDS	726	fimC_1			Chaperone protein FimC
1617.00_01170	CDS	2637	fimD_1		COG3188	Outer membrane usher protein FimD
	sig_peptide	114				putative signal peptide
1617.00_01171	CDS	531	fimF_1			Protein FimF
	sig_peptide	69				putative signal peptide
1617.00_01172	CDS	504	fimG_1			Protein FimG
	sig_peptide	72				putative signal peptide
1617.00_01173	CDS	903	fimH_1			Type 1 fimbrin D-mannose specific adhesin
	sig_peptide	60				putative signal peptide
1617.00_01174	CDS	435	gntP_1		COG2610	High-affinity gluconate transporter
1617.00_01175	CDS	915	gntP_2		COG2610	High-affinity gluconate transporter
1617.00_01176	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
1617.00_01177	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
1617.00_01178	CDS	195				hypothetical protein
1617.00_01179	CDS	726	pdhR_2		COG2186	Pyruvate dehydrogenase complex repressor
1617.00_01180	CDS	831				hypothetical protein
1617.00_01181	CDS	393	iraD			Anti-adapter protein IraD
1617.00_01182	CDS	912	yjiE			HTH-type transcriptional regulator YjiE
1617.00_01183	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
1617.00_01184	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
1617.00_01185	CDS	684				hypothetical protein
1617.00_01186	CDS	585	kptA	2.7.1.-		RNA 2'-phosphotransferase
1617.00_01187	CDS	5241				hypothetical protein
1617.00_01188	CDS	1179				hypothetical protein
1617.00_01189	CDS	840	yjiK		COG3204	putative protein YjiK
1617.00_01190	CDS	1971				hypothetical protein
1617.00_01191	CDS	267				hypothetical protein
1617.00_01192	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
1617.00_01193	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
1617.00_01194	CDS	1281				hypothetical protein
1617.00_01195	CDS	1233	mdtM			Multidrug resistance protein MdtM
1617.00_01196	CDS	957				ISNCY family transposase ISRor2
1617.00_01197	CDS	1413	norG		COG1167	HTH-type transcriptional regulator NorG
1617.00_01198	CDS	165				hypothetical protein
1617.00_01199	CDS	2094				hypothetical protein
1617.00_01200	CDS	342	symE	3.1.-.-		Toxic protein SymE
1617.00_01201	CDS	1752				hypothetical protein
1617.00_01202	CDS	1470		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
1617.00_01203	CDS	2433				hypothetical protein
1617.00_01204	CDS	285				hypothetical protein
1617.00_01205	CDS	1359				hypothetical protein
1617.00_01206	CDS	957	yjiA		COG0523	putative GTP-binding protein YjiA
1617.00_01207	CDS	204				hypothetical protein
1617.00_01208	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
1617.00_01209	CDS	513	hpaC	1.5.1.36	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
1617.00_01210	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
1617.00_01211	CDS	891	rhaR_2			HTH-type transcriptional activator RhaR
1617.00_01212	CDS	1377	ttuB			Putative tartrate transporter
1617.00_01213	CDS	789	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
1617.00_01214	CDS	804	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
1617.00_01215	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
1617.00_01216	CDS	852	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
1617.00_01217	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
1617.00_01218	CDS	1290	hpcE		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
1617.00_01219	CDS	447				hypothetical protein
1617.00_01220	CDS	1665	tsr		COG0840	Methyl-accepting chemotaxis protein I
1617.00_01221	CDS	1362	lgoT_1			putative L-galactonate transporter
1617.00_01222	CDS	915	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
1617.00_01223	CDS	1023	lgoD_2	1.1.1.-	COG1063	L-galactonate-5-dehydrogenase
1617.00_01224	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
1617.00_01225	CDS	495				hypothetical protein
	sig_peptide	78				putative signal peptide
1617.00_01226	CDS	738	dnaC_1		COG1484	DNA replication protein DnaC
1617.00_01227	CDS	540	dnaT_1			Primosomal protein 1
1617.00_01228	CDS	474				hypothetical protein
1617.00_01229	CDS	771	yjjP		COG2966	Inner membrane protein YjjP
1617.00_01230	CDS	726	yjjQ			Putative transcription factor YjjQ
1617.00_01231	CDS	678	bglJ		COG2197	Transcriptional activator protein BglJ
1617.00_01232	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
1617.00_01233	CDS	237				hypothetical protein
1617.00_01234	tRNA	87				tRNA-Leu(cag)
1617.00_01235	tRNA	87				tRNA-Leu(cag)
1617.00_01236	tRNA	87				tRNA-Leu(cag)
1617.00_01237	CDS	1032	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
1617.00_01238	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
1617.00_01239	CDS	447	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
1617.00_01240	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
1617.00_01241	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
1617.00_01242	CDS	606	osmY_2		COG2823	Osmotically-inducible protein Y
	sig_peptide	87				putative signal peptide
1617.00_01243	CDS	162				hypothetical protein
1617.00_01244	CDS	1074				hypothetical protein
1617.00_01245	CDS	780	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
1617.00_01246	CDS	705	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
1617.00_01247	CDS	1551	yjjI			putative protein YjjI
1617.00_01248	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
